code,name,nature
SZ300298,三诺生物,波段
SZ002541,鸿路钢构,波段
SZ300529,健帆生物,波段
SH600420,国药现代,波段
SH601212,白银有色,波段
SZ002461,珠江啤酒,波段
SH603337,杰克科技,波段
SZ301050,雷电微力,波段
SH688180,君实生物-U,波段
SZ001389,广合科技,波段
SH603992,松霖科技,波段
SZ002294,信立泰,波段
SZ000598,兴蓉环境,波段
SZ000089,深圳机场,波段
SH601198,东兴证券,波段
SH600233,圆通速递,波段
SH688029,南微医学,波段
SH688375,国博电子,波段
SH600057,厦门象屿,波段
SH688270,臻镭科技,波段
SH603801,志邦家居,波段
SZ002911,佛燃能源,波段
SZ301525,儒竞科技,波段
SH600655,豫园股份,波段
SZ002936,郑州银行,波段
SH600518,康美药业,波段
SZ000830,鲁西化工,波段
SZ000728,国元证券,波段
SZ002226,江南化工,波段
SH601808,中海油服,波段
SH600021,上海电力,波段
SH601990,南京证券,波段
SZ000778,新兴铸管,波段
SH688698,伟创电气,波段
SH600704,物产中大,波段
SH688363,华熙生物,波段
SZ300454,深信服,波段
SH688568,中科星图,波段
SZ200725,京东方B,波段
SH603393,新天然气,波段
SH601718,际华集团,波段
SZ300676,华大基因,波段
SZ002926,华西证券,波段
SZ000783,长江证券,波段
SH600390,五矿资本,波段
SH601963,重庆银行,波段
SH688256,寒武纪-U,波段
SZ002237,恒邦股份,波段
SZ300003,乐普医疗,波段
SH600141,兴发集团,波段
SZ000403,派林生物,波段
SH605333,沪光股份,波段
SH600179,安通控股,波段
SH603297,永新光学,波段
SH600787,中储股份,波段
SZ000786,北新建材,波段
SZ000550,江铃汽车,波段
SH600820,隧道股份,波段
SZ000623,吉林敖东,波段
SH603565,中谷物流,波段
SH603983,丸美生物,波段
SH688023,安恒信息,波段
SH600958,东方证券,波段
SH601702,华峰铝业,波段
SH600757,长江传媒,波段
SH688017,绿的谐波,波段
SH601326,秦港股份,波段
SZ002430,杭氧股份,波段
SH688116,天奈科技,波段
SZ002432,九安医疗,波段
SZ002939,长城证券,波段
SH601801,皖新传媒,波段
SZ000029,深深房Ａ,波段
SZ002287,奇正藏药,波段
SZ301335,天元宠物,波段
SH600908,无锡银行,波段
SH600064,南京高科,波段
SH603160,汇顶科技,波段
SH603198,迎驾贡酒,波段
SH603150,万朗磁塑,波段
SH601016,节能风电,波段
SH600710,苏美达,波段
SH600369,西南证券,波段
SH600909,华安证券,波段
SH600332,白云山,波段
SH601677,明泰铝业,波段
SH600516,方大炭素,波段
SH603005,晶方科技,波段
SH600459,贵研铂业,波段
SH601236,红塔证券,波段
SH688031,星环科技-U,波段
SH600109,国金证券,波段
SZ301200,大族数控,波段
SH601952,苏垦农发,波段
SH603733,仙鹤股份,波段
SZ002653,海思科,波段
SZ002984,森麒麟,波段
SH688088,虹软科技,波段
